hora,PN,FA
00:00:00,0.121778907578554,-0.0912815794639953
00:30:00,0.0971372212126099,-0.123903473665319
01:00:00,0.0569902915701827,0.0324482515150707
01:30:00,0.101239719108557,0.024162001858574
02:00:00,0.133723473267006,-0.0126217845471617
02:30:00,-0.113465204615319,-0.0304437270324725
03:00:00,0.271202875908401,0.045529506406764
03:30:00,0.00555269420146941,-0.137644691960537
04:00:00,0.211583758883458,0.222376629739913
04:30:00,-0.120733257417999,-0.144302369282532
05:00:00,-0.264537067315677,-0.496772432203094
05:30:00,0.0879315690296452,0.149072040386672
06:00:00,-0.0896240464951918,-0.0951258680759332
06:30:00,-0.0536354359753269,-0.115204708456804
07:00:00,-0.0753198624718343,0.00504002136751836
07:30:00,-0.0883897001867156,-0.0617571045955022
08:00:00,-0.0471350070584066,0.0896130745422153
08:30:00,-0.0609531703516123,0.0626106371271635
09:00:00,0.081946826007737,0.115516661156858
