hora,PN,FA
06:00:00,-0.430617517232895,
06:01:00,,-0.521910190582275
06:02:00,0.899783897399902,0.459519624710083
06:03:00,0.351903486251831,0.575268030166626
06:04:00,-0.0504840433637981,-0.497036671638489
06:05:00,-0.656830835342407,-0.656830835342407
06:06:00,-0.321618549029032,
06:07:00,-0.412797698109235,
06:08:00,0.427270311117172,
06:09:00,-0.369989430904388,-0.0445396184921265
06:10:00,0.263023886314141,-0.861941194534302
06:11:00,-0.375821614265442,
06:12:00,-0.393430852890015,
06:13:00,0.286890804767609,0.573781609535217
06:15:00,-0.433163499832153,-0.0921439409255981
06:16:00,0.144728103280067,0.200344439347585
